,Sex,State,Age Group,Year,Population,Deaths SF,Crude Rate SF,Deaths SI,Crude Rate SI,Deaths HF,Crude Rate HF,Deaths HI,Crude Rate HI
0,Males,Alabama,00-04 yrs,1999,150513,0,0.0,0,0.0,0,0.0,0,0.0
1,Females,Alabama,00-04 yrs,1999,144427,0,0.0,0,0.0,0,0.0,0,0.0
2,Males,Alabama,05-09 yrs,1999,161970,0,0.0,0,0.0,0,0.0,0,0.0
3,Females,Alabama,05-09 yrs,1999,153779,0,0.0,0,0.0,0,0.0,0,0.0
4,Males,Alabama,10-14 yrs,1999,163000,0,0.0,0,0.0,0,0.0,0,0.0
5,Females,Alabama,10-14 yrs,1999,154380,0,0.0,0,0.0,0,0.0,0,0.0
6,Males,Alabama,15-19 yrs,1999,166099,24,14.45,30,18.06,30,18.06,34,20.47
7,Females,Alabama,15-19 yrs,1999,161690,0,0.0,0,0.0,0,0.0,11,6.8
8,Males,Alabama,20-24 yrs,1999,151548,37,24.41,46,30.35,48,31.67,54,35.63
9,Females,Alabama,20-24 yrs,1999,154634,0,0.0,10,6.47,0,0.0,12,7.76
10,Males,Alabama,25-29 yrs,1999,151877,25,16.46,35,23.04,34,22.39,42,27.65
11,Females,Alabama,25-29 yrs,1999,155151,0,0.0,0,0.0,11,7.09,17,10.96
12,Males,Alabama,30-34 yrs,1999,148196,24,16.19,34,22.94,19,12.82,29,19.57
13,Females,Alabama,30-34 yrs,1999,153099,0,0.0,11,7.18,0,0.0,18,11.76
14,Males,Alabama,35-39 yrs,1999,167921,32,19.06,44,26.2,22,13.1,36,21.44
15,Females,Alabama,35-39 yrs,1999,175011,0,0.0,0,0.0,13,7.43,16,9.14
16,Males,Alabama,40-44 yrs,1999,167710,35,20.87,52,31.01,23,13.71,34,20.27
17,Females,Alabama,40-44 yrs,1999,176290,12,6.81,15,8.51,0,0.0,10,5.67
18,Males,Alabama,45-49 yrs,1999,150447,30,19.94,36,23.93,0,0.0,16,10.63
19,Females,Alabama,45-49 yrs,1999,159445,0,0.0,0,0.0,0,0.0,0,0.0
20,Males,Alabama,50-54 yrs,1999,133876,29,21.66,37,27.64,0,0.0,17,12.7
21,Females,Alabama,50-54 yrs,1999,141883,0,0.0,10,7.05,0,0.0,0,0.0
22,Males,Alabama,55-59 yrs,1999,105366,22,20.88,28,26.57,10,9.49,15,14.24
23,Females,Alabama,55-59 yrs,1999,115362,0,0.0,0,0.0,0,0.0,0,0.0
24,Males,Alabama,60-64 yrs,1999,88690,26,29.32,28,31.57,0,0.0,0,0.0
25,Females,Alabama,60-64 yrs,1999,101124,0,0.0,0,0.0,0,0.0,0,0.0
26,Males,Alabama,65-69 yrs,1999,75958,21,27.65,21,27.65,0,0.0,10,13.17
27,Females,Alabama,65-69 yrs,1999,91405,0,0.0,0,0.0,0,0.0,0,0.0
28,Males,Alabama,70-74 yrs,1999,63159,26,41.17,28,44.33,0,0.0,0,0.0
29,Females,Alabama,70-74 yrs,1999,85406,0,0.0,0,0.0,0,0.0,0,0.0
30,Males,Alabama,75-79 yrs,1999,46216,24,51.93,25,54.09,0,0.0,0,0.0
31,Females,Alabama,75-79 yrs,1999,71682,0,0.0,0,0.0,0,0.0,0,0.0
32,Males,Alabama,80-84 yrs,1999,26637,0,0.0,0,0.0,0,0.0,0,0.0
33,Females,Alabama,80-84 yrs,1999,50239,0,0.0,0,0.0,0,0.0,0,0.0
34,Males,Alabama,85+ yrs,1999,17701,0,0.0,0,0.0,0,0.0,0,0.0
35,Females,Alabama,85+ yrs,1999,48252,0,0.0,0,0.0,0,0.0,0,0.0
36,Males,Alaska,00-04 yrs,1999,24594,0,0.0,0,0.0,0,0.0,0,0.0
37,Females,Alaska,00-04 yrs,1999,23342,0,0.0,0,0.0,0,0.0,0,0.0
38,Males,Alaska,05-09 yrs,1999,28288,0,0.0,0,0.0,0,0.0,0,0.0
39,Females,Alaska,05-09 yrs,1999,26894,0,0.0,0,0.0,0,0.0,0,0.0
40,Males,Alaska,10-14 yrs,1999,28700,0,0.0,0,0.0,0,0.0,0,0.0
41,Females,Alaska,10-14 yrs,1999,27178,0,0.0,0,0.0,0,0.0,0,0.0
42,Males,Alaska,15-19 yrs,1999,26165,0,0.0,12,45.86,0,0.0,0,0.0
43,Females,Alaska,15-19 yrs,1999,23567,0,0.0,0,0.0,0,0.0,0,0.0
44,Males,Alaska,20-24 yrs,1999,20966,0,0.0,0,0.0,0,0.0,0,0.0
45,Females,Alaska,20-24 yrs,1999,18485,0,0.0,0,0.0,0,0.0,0,0.0
46,Males,Alaska,25-29 yrs,1999,21634,0,0.0,11,50.85,0,0.0,0,0.0
47,Females,Alaska,25-29 yrs,1999,20053,0,0.0,0,0.0,0,0.0,0,0.0
48,Males,Alaska,30-34 yrs,1999,25070,0,0.0,0,0.0,0,0.0,0,0.0
49,Females,Alaska,30-34 yrs,1999,23259,0,0.0,0,0.0,0,0.0,0,0.0
50,Males,Alaska,35-39 yrs,1999,29718,0,0.0,10,33.65,0,0.0,0,0.0
51,Females,Alaska,35-39 yrs,1999,28001,0,0.0,0,0.0,0,0.0,0,0.0
52,Males,Alaska,40-44 yrs,1999,30346,0,0.0,0,0.0,0,0.0,0,0.0
53,Females,Alaska,40-44 yrs,1999,28816,0,0.0,0,0.0,0,0.0,0,0.0
54,Males,Alaska,45-49 yrs,1999,27512,0,0.0,0,0.0,0,0.0,0,0.0
55,Females,Alaska,45-49 yrs,1999,25028,0,0.0,0,0.0,0,0.0,0,0.0
56,Males,Alaska,50-54 yrs,1999,21319,0,0.0,0,0.0,0,0.0,0,0.0
57,Females,Alaska,50-54 yrs,1999,18261,0,0.0,0,0.0,0,0.0,0,0.0
58,Males,Alaska,55-59 yrs,1999,14146,0,0.0,0,0.0,0,0.0,0,0.0
59,Females,Alaska,55-59 yrs,1999,12235,0,0.0,0,0.0,0,0.0,0,0.0
60,Males,Alaska,60-64 yrs,1999,9027,0,0.0,0,0.0,0,0.0,0,0.0
61,Females,Alaska,60-64 yrs,1999,7933,0,0.0,0,0.0,0,0.0,0,0.0
62,Males,Alaska,65-69 yrs,1999,6150,0,0.0,0,0.0,0,0.0,0,0.0
63,Females,Alaska,65-69 yrs,1999,6069,0,0.0,0,0.0,0,0.0,0,0.0
64,Males,Alaska,70-74 yrs,1999,4649,0,0.0,0,0.0,0,0.0,0,0.0
65,Females,Alaska,70-74 yrs,1999,4863,0,0.0,0,0.0,0,0.0,0,0.0
66,Males,Alaska,75-79 yrs,1999,2930,0,0.0,0,0.0,0,0.0,0,0.0
67,Females,Alaska,75-79 yrs,1999,3595,0,0.0,0,0.0,0,0.0,0,0.0
